Artist Name	Organization	Country	Media / General	Medium of Work	Product Image	Years Attended	Booth #	Longitude	Latitude	Artist Image	Artist Bio 1
Abdul Tawana		Afghanistan	Ceramics	Timurid style tiles of Herat		2015	72				Abdul creates traditional Timurid-style tiles using a unique ancient process with multiple time-consuming steps. These tiles had previously been used only in the holiest of places of Afghanistan, but with the help of his students, Abdul is bringing the art form to the world. With a background as both a medical student and a calligrapher, precision and gracefulness merge perfectly together when Abdul makes his tiles. He uses three styles: single color, multi-color, and mosaic. Each piece requires great artistic skill and the colors of his tiles strengthen with sun and the passage of time. Abdul works with 30 students and employees, carrying the tradition on to the next generation. 
Nasrullah		Afghanistan	Glasswork	Herat glassware		2014, 2015	26				Nasrullah comes from a family of glassmakers, creating the famous blue glass of the Herat province. Following in the ways of his father and grandfather, he uses traditional and ancient techniques to make glass and blow goblets, vases, bowls, and plates. This beautiful and detailed glassware is used to celebrate the Afghan New Year, weddings, and other special and religious occasions. In recent years it has gained popularity in restaurants and for daily use. Since he has trained his sons and nephews in the art form, Nasrullah and his family are able to see their glassware sold throughout Afghanistan, keeping the tradition alive.
Rangina Hamidi	Kandahar Treasure	Afghanistan	Textiles	Khamak embroideries		2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015	5				Rangina represents Kandahar Treasure, a cooperative of embroiderers promoting a unique and traditional art form to create income sources for women. The traditional fine needle embroidery called “khamak” is a trademark of Kandahar women. Khamak artists begin learning as early as five years old, some mastering their skills by age 10-12. Their work is strictly owned and passed down by women only. The art form is inspired by Islamic geometric shapes and is hand-embroidered on fabric. The cooperative has worked hard to revive this ancient art and the traditional designs of the past that were lost during the decades of conflict in Afghanistan.
Karim Oukid Ouksel		Algeria	Jewelry	Enamel and inlay jewelry		2011, 2012, 2013, 2014, 2015	105				Karim is from a small village in the Kabylia region in northern Algeria, an area with a long and important tradition of Berber jewelry production. He began learning the art of jewelry making to continue the tradition and promote the rich culture of his community. The filigreed geometric forms in Kabylian jewelry reflect the patterns found in Berber tapestries and ceramics of the region.  Within the details of each of pieces, Karim hopes to convey his feelings and identity. To Karim, these pieces are more than decorative objects – they express poems, histories, rivers and mountains, and the love of his motherland.
Aroti Rani	Living Blue	Bangladesh	Textiles	Shibori and Khadi quilts, stoles, scarves, and cushion covers 		2014, 2015	36				Aroti Rani is a master quilter, creating traditional Bengali pieces known as kheta, using a technique that has been passed down for generations. She is known for making “indigo shibori” quilts, which can take up to three months to complete. Master dyers and master quilters work together to create these hand-quilted textiles, and the motifs and patterns often tell stories of daily life or historical moments. Living Blue has helped revive the use indigo in Bangladesh and currently employs over 300 women artists. Living Blue artists also create the rare style of “white on white” quilts, which can take up to six months to complete.
Rinzin Wangmo		Bhutan	Textiles	Backstrap traditional woven clothing, home accessories		2007, 2009, 2015	110				The Himalayan Mountain valleys of north-central Bhutan hold many of this South Asian nation’s most historic and sacred shrines and spiritual centers. They also are home to Rinzin Wangmo, who learned the art of the backstrap loom from her mother, a weaver to the royal family of Bhutan. Using traditional techniques and geometric designs, Wangmo creates Bhutanese dresses and bed throws of cotton and silk. The material also is used in purses and bags. The dyes come from forest plants. The products are used in daily life and Wangmo is proud to offer them to the world on behalf of Bhutan.
Sonam Chhoewang		Bhutan	Textiles	Backstrap traditional woven clothing, home accessories		2015	110				Sonam works alongside her mother and grandmother in their studio with 12 looms. Her grandmother is known as a living legend of the art form, and has been teaching Sonam special techniques to produce vegetable dyes. She grew up surrounded by weaving and her first piece is framed on the wall in her house, a reminder of her roots. Her weavings have incredibly rich colors and intricate patterns featuring geometric shapes and designs. She weaves her clothing and school uniforms, in hopes to inspire other young people to learn the art form.
Leki Wangmo		Bhutan 	Textiles	Backstrap traditional woven clothing, home accessories		2007, 2009, 2015	110				Leki’s family business includes a weaving school and a guesthouse and lodge for tourists. She teaches the craft of weaving to village girls, usually unwed mothers, providing the means to support their families. The art of weaving is an important part of the Bhutanese culture as the pieces are used in daily life and for special occasions. Specific patterns are used to commemorate births, promotions, housewarmings, New Year celebrations, and marriages. Raw materials of organic silk, cotton, nettle, and wool are dyed naturally.
Etsha Weavers Group	Botswanacraft Marketing	Botswana	Basketry	Natural dyed palm fiber baskets (open and lidded)		2014, 2015 	73				The high quality of baskets made by members of the Estha Weavers Group feature designs that have been passed down through generations. A single basket can take up to a year for an artist to complete.  The Etsha Weavers Group is committed to the production of high-quality, handcrafted baskets and to empowering weavers. They also aim to inspire and educate youth to continue the practice and improve standards of living. Representing a group of over twenty weavers, many of these women are the sole providers for their families and supplement their subsistence farming with income from weaving baskets. 
Kuru Art Project	Botswanacraft Marketing	Botswana	Painting	San rock paintings on canvas and prints		2014 (organization), 2015 (new work)	73				The artists of the Kuru Art Project create paintings and prints, representing a traditional style that originated as rock painting. Through their work, they express their yearning for the past, their sorrows, and their joys and hopes for the future.  The artists hope their work will serve as their voice and help to conserve cultural traditions. Each piece celebrates the lifestyle and customs of the artist, while also creating awareness about the loss of the hunter-gatherer existence.
