ArtistID,ArtistName
1,Abdul Tawana
2,Nasrullah
3,Rangina Hamidi
4,Karim Oukid Ouksel
5,Aroti Rani
6,Rinzin Wangmo
7,Sonam Chhoewang
8,Leki Wangmo
9,Etsha Weavers Group
10,Kuru Art Project
11,Yahaya Kabore
12,Chantha Nguon
13,Gwaai Edenshaw
14,Fang Yang
15,Kalsang Tashi
16,Reinel Mendoza Montalbo
17,William Lopez Arnachez and Olga Mercedes Siosi Epiayu
18,Carlos Caceres Valladares
19,Cenia Gutiérrez Alfonso 
20,Luis Rodriguez Ricardo and Luis Joaquin Rodriguez Arias
21,Nancy Reyes Suarez
22,Roberto Gil Esteban
23,"Ramona De Disla, Maria Infante, Ecolastica Valera Muñoz"
24,Negist Ethiopia
25,Blaise Cayol
26,François Fresnais
27,Ebenezer Nomoda Djaba
28,Amalia Gue
29,Edgar Oswaldo Perén Tubín
30,Lina Barrios
31,Rosmery Pacheco
32,Josnel Bruno
33,Serge Jolimeau 
34,Valris Valentin
35,William Adjété Wilson 
36,Levente Sütő
37,Abdulaziz Alimamad Khatri
38,Abduljabbar Mahmadhushen Khatri and Abdullah Mohmedhussain Khatri
39,Baldev Baghmare
40,Bani Mondal and Animesh Mondal
41,Dahyalal Kudecha
42,Dharmendra Soni
43,Janmamad Salemamad Luhar
44,Juned Ismail Khatri
45,Mamta Varma and Rama Singh
46,Manisha Mishra
47,Pokhar Mal and Kailash Kanwar
48,Qasab-Kutch Craftswomen's Producer Co. Ltd.
49,Ramu Devraj Harijan
50,Santosh Kumar Rathi
51,Sufiyan Khatri
52,Tiala Neufeld
53,"Ani, Herlina, Dinoh, Ida, Milo"
54,Ida Bagus Anom Suryawan
55,Leokrita Diana
56,Ben Zion David
57,Naama Al Sana and Hasan Sana
58,Andrea Usai
59,Mikio Toki
60,Aigul Zhanserikova 
61,Ilya Kazakov
62,Meeri Tuya
63,"Kadyrkul Sharshembieva, Nazira Dairova, Farzana Sharshembieva, Abay Inoyatov"
64,Zhanyl Sharshembieva
65,Seokham Keomanivong
66,Soubandith Lattanavong
67,Traditional Arts and Ethnology Centre
68,Veomanee Douangdala and Sykai Phonethilade
69,Marie Rasoantenaina
70,Rado Herivonona Ambinintsoa
71,Mohamed El Maouloud Ag Hamid
