ArtistID,ArtistName,Organization,Country,Media_General,MediumOfWork,Product Image,Years_Attended,BoothNumber,Longitude,Latitude,Artist Image
1,Abdul Tawana,,Afghanistan,Ceramics,Timurid style tiles of Herat,,2015,72,,,
2,Nasrullah,,Afghanistan,Glasswork,Herat glassware,,"2014, 2015",26,,,
3,Rangina Hamidi,Kandahar Treasure,Afghanistan,Textiles,Khamak embroideries,,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015",5,,,
4,Karim Oukid Ouksel,,Algeria,Jewelry,Enamel and inlay jewelry,,"2011, 2012, 2013, 2014, 2015",105,,,
5,Aroti Rani,Living Blue,Bangladesh,Textiles,"Shibori and Khadi quilts, stoles, scarves, and cushion covers ",,"2014, 2015",36,,,
6,Rinzin Wangmo,,Bhutan,Textiles,"Backstrap traditional woven clothing, home accessories",,"2007, 2009, 2015",110,,,
7,Sonam Chhoewang,,Bhutan,Textiles,"Backstrap traditional woven clothing, home accessories",,2015,110,,,
8,Leki Wangmo,,Bhutan ,Textiles,"Backstrap traditional woven clothing, home accessories",,"2007, 2009, 2015",110,,,
9,Etsha Weavers Group,Botswanacraft Marketing,Botswana,Basketry,Natural dyed palm fiber baskets (open and lidded),,"2014, 2015 ",73,,,
10,Kuru Art Project,Botswanacraft Marketing,Botswana,Painting,San rock paintings on canvas and prints,,"2014 (organization), 2015 (new work)",73,,,
11,Yahaya Kabore,,Burkina Faso,Other (Musical Instruments),Burkinabé musical instruments,,2015,65,,,
12,Chantha Nguon,Stung Treng Women's Development Centre/Mekong Blue,Cambodia,Textiles,"Silk clothing, accessories and wall hangings woven in traditional Khmer style",,"2011, 2012, 2013, 2015",39,,,
13,Gwaai Edenshaw,,Canada (Haida Nation) ,Jewelry,Gold and silver jewelry,,2015,66,,,
14,Fang Yang,,China,Textiles,Bee-wax resist-dyed and embroidered clothing and housewares,,2015,59,,,
15,Kalsang Tashi,,China (Tibet),Painting,Tibetan Thangka paintings,,"2013, 2014, 2015",57,,,
16,Reinel Mendoza Montalbo,Cooperativa Divino Nino,Colombia,Textiles,Zenu indigenous hats and jewelry woven of Cana Flecha palm,,"2012, 2013, 2014, 2015",69,,,
